epoch,train_loss,train_acc,valid_loss,valid_acc
1,0.5995219959590575,0.6848885218827415,0.5889722645636483,0.7581602373887241
2,0.5116375040948933,0.7544178364987614,0.5398861728055895,0.7462908011869436
3,0.4809885018724336,0.771924029727498,0.7021421563731457,0.5370919881305638
4,0.47733158383066254,0.772914946325351,0.5455908805397215,0.7640949554896143
5,0.45495509558921016,0.7801816680429398,0.5531241843360821,0.7596439169139466
6,0.44940223922225486,0.7843104872006607,0.533189876143232,0.7670623145400594
7,0.4430650596378462,0.785962014863749,0.5325741506339181,0.7581602373887241
8,0.44520190483671296,0.7846407927332782,0.5235698553415717,0.7566765578635015
9,0.4380637976475534,0.7887696118909991,0.5678990802006348,0.7477744807121661
10,0.4368062883984639,0.7881090008257639,0.5220065761498488,0.755192878338279
